nb_precision,nb_recall,nb_f1,lr_precision,lr_recall,lr_f1,svm_precision,svm_recall,svm_f1
0.0,0.0,0.0,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.7096774193548387,0.5365853658536586,0.6111111111111112
0.0,0.0,0.0,0.6585365853658537,0.6585365853658537,0.6585365853658537,0.7666666666666667,0.5609756097560976,0.647887323943662
1.0,0.024390243902439025,0.047619047619047616,0.6521739130434783,0.7317073170731707,0.6896551724137931,0.7567567567567568,0.6829268292682927,0.717948717948718
0.0,0.0,0.0,0.6458333333333334,0.7560975609756098,0.6966292134831461,0.7777777777777778,0.6829268292682927,0.7272727272727273
0.0,0.0,0.0,0.5384615384615384,0.6829268292682927,0.6021505376344086,0.6,0.5853658536585366,0.5925925925925926
0.0,0.0,0.0,0.65,0.6341463414634146,0.6419753086419753,0.6571428571428571,0.5609756097560976,0.6052631578947368
0.0,0.0,0.0,0.6756756756756757,0.6097560975609756,0.6410256410256411,0.6551724137931034,0.4634146341463415,0.5428571428571428
0.0,0.0,0.0,0.5882352941176471,0.7317073170731707,0.6521739130434783,0.6511627906976745,0.6829268292682927,0.6666666666666666
1.0,0.024390243902439025,0.047619047619047616,0.6976744186046512,0.7317073170731707,0.7142857142857143,0.7567567567567568,0.6829268292682927,0.717948717948718
0.0,0.0,0.0,0.58,0.7073170731707317,0.6373626373626373,0.696969696969697,0.5609756097560976,0.6216216216216216
0.0,0.0,0.0,0.7692307692307693,0.7317073170731707,0.75,0.8235294117647058,0.6829268292682927,0.7466666666666667
0.0,0.0,0.0,0.6363636363636364,0.6829268292682927,0.6588235294117647,0.7333333333333333,0.5365853658536586,0.6197183098591549
1.0,0.024390243902439025,0.047619047619047616,0.6086956521739131,0.6829268292682927,0.6436781609195402,0.6666666666666666,0.6341463414634146,0.65
0.0,0.0,0.0,0.7,0.8536585365853658,0.7692307692307693,0.825,0.8048780487804879,0.8148148148148148
1.0,0.024390243902439025,0.047619047619047616,0.6190476190476191,0.6341463414634146,0.6265060240963856,0.7027027027027027,0.6341463414634146,0.6666666666666666
0.0,0.0,0.0,0.7,0.6829268292682927,0.691358024691358,0.7241379310344828,0.5121951219512195,0.6
0.0,0.0,0.0,0.6136363636363636,0.6585365853658537,0.6352941176470588,0.6486486486486487,0.5853658536585366,0.6153846153846154
0.0,0.0,0.0,0.5625,0.6585365853658537,0.6067415730337079,0.6486486486486487,0.5853658536585366,0.6153846153846154
0.0,0.0,0.0,0.6326530612244898,0.7560975609756098,0.6888888888888889,0.7073170731707317,0.7073170731707317,0.7073170731707317
0.0,0.0,0.0,0.7021276595744681,0.8048780487804879,0.75,0.7777777777777778,0.6829268292682927,0.7272727272727273
0.0,0.0,0.0,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.6388888888888888,0.5609756097560976,0.5974025974025974
0.0,0.0,0.0,0.6666666666666666,0.7317073170731707,0.6976744186046512,0.7297297297297297,0.6585365853658537,0.6923076923076923
0.0,0.0,0.0,0.627906976744186,0.6585365853658537,0.6428571428571429,0.6944444444444444,0.6097560975609756,0.6493506493506493
0.0,0.0,0.0,0.5833333333333334,0.6829268292682927,0.6292134831460674,0.65,0.6341463414634146,0.6419753086419753
0.0,0.0,0.0,0.6363636363636364,0.6829268292682927,0.6588235294117647,0.6857142857142857,0.5853658536585366,0.631578947368421
0.0,0.0,0.0,0.6511627906976745,0.6829268292682927,0.6666666666666666,0.65625,0.5121951219512195,0.5753424657534246
0.0,0.0,0.0,0.6756756756756757,0.6097560975609756,0.6410256410256411,0.6428571428571429,0.43902439024390244,0.5217391304347826
1.0,0.024390243902439025,0.047619047619047616,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.7027027027027027,0.6341463414634146,0.6666666666666666
0.0,0.0,0.0,0.575,0.5609756097560976,0.5679012345679012,0.7,0.5121951219512195,0.5915492957746479
0.0,0.0,0.0,0.5102040816326531,0.6097560975609756,0.5555555555555556,0.6052631578947368,0.5609756097560976,0.5822784810126582
